Исповедание,Месяцы,Законнорожденных (М. П.),Законнорожденных (Ж. П.),Вне брака (М. П.),Вне брака (Ж. П.),Всего рождений без мертворожденных (М. П.),Всего рождений без мертворожденных (Ж. П.),В том числе двойней (М. П.),В том числе двойней (Ж. П.),В том числе тройней (М. П.),В том числе тройней (Ж. П.),В том числе четверней (М. П.),В том числе четверней (Ж. П.),В том числе подкидышей (М. П.),В том числе подкидышей (Ж. П.),Перешедших в православие (*) (М. П.),Перешедших в православие (*) (Ж. П.)
,Январь,121,107,24,18,145,125,3,1,-,-,-,-,2,1,3,2
,Февраль,132,113,21,22,153,135,1,3,-,-,-,-,-,1,-,-
,Март,130,116,16,17,146,133,1,3,-,-,-,-,-,-,-,3
,Апрель,133,93,17,18,150,111,1,1,-,-,-,-,3,-,3,3
,Май,117,109,15,18,132,127,1,5,-,-,-,-,1,1,2,1
,Июнь,127,114,12,19,139,133,3,5,-,-,-,-,1,2,-,1
,Июль,139,111,12,17,151,128,2,2,-,-,-,-,-,2,1,2
,Август,120,113,13,17,133,130,5,3,-,-,-,-,-,1,2,-
,Сентябрь,125,115,12,18,137,133,5,5,-,-,-,-,-,1,1,-
,Октябрь,127,109,17,18,144,127,-,2,-,-,-,-,1,1,-,1
,Ноябрь,107,116,13,22,120,138,6,2,-,-,-,-,2,1,-,-
,Декабрь,102,111,15,15,117,126,2,-,-,-,-,-,-,-,2,1
,Итого,1480,1327,187,219,1667,1546,30,32,-,-,-,-,10,11,14,14